brand,myntra_name,purplle_name,myntra_price,purplle_price
loreal,"LOreal Paris Matte Signature Liner - Black, 2.5ml",L'Oreal Paris Matte Signature Liner Black (2.5 ml),594,849.0
loreal,LOreal Paris Colour Protect Shampoo 340 ml,L'Oreal Paris Color Protect Shampoo (340 ml),209,399.0
lakme,Lakme Absolute Face Stylist Blush Duos- Pink Blush,Lakme Absolute Face Stylist Blush Duos - Pink Blush (6 g),520,560.0
lakme,"Lakme Absolute 3D Cover Foundation - Cool Ivory, 15 ml",Lakme Absolute 3D Cover Foundation  Cool Ivory (15 ml),536,619.0
lakme,Lakme Absolute Mattreal Mousse Concealer - Natural 02 9 g,Lakme Absolute Mattreal Mousse Concealer - Natural 02 (9 g),420,525.0
lakme,Lakme Face It Compact - Natural Coral,Lakme Face It Compact  Natural  Coral  9 g,149,162.0
lakme,Lakme Absolute Matte Revolution Lip Color - Dynamite Berry 501,Lakme Absolute Matte Revolution Lip Color - Dynamite Berry 501 (4 g),577,825.0
lakme,Lakme Absolute Perfect Radiance Skin Brightening Day Creme 15g,Lakme Absolute Perfect Radiance Skin Brightening Day Creme 50 g,99,175.0
mcaffeine,MCaffeine Dark Circle Reduction Combo,mCaffeine Dark Circle Reduction Combo,1010,1148.0
plum,Plum BodyLovin Vanilla Vibes Sugar Body Scrub - 200 ml,Plum BodyLovin' Vanilla Vibes Sugar Body Scrub (200 g),396,550.0
swiss-beauty,SWISS BEAUTY Professional Blusher - Just Rose,Swiss Beauty Professional Blusher Just Rose (4 g),249,254.0
swiss-beauty,SWISS BEAUTY Intense Gel Kajal - Brown,Swiss Beauty Intense Gel Kajal Brown,235,259.0
swiss-beauty,SWISS BEAUTY 3d Studio Effect Eyelashes - Royal,Swiss Beauty 3D Studio Effect Eyelashes - Royal,109,116.0
