brand,myntra_name,purplle_name,myntra_price,purplle_price
loreal,"Loreal Paris Total Repair 5 Shampoo, 1 L",L'Oreal Paris Total Repair 5 Shampoo (1000 ml),384,550.0
loreal,"LOreal Paris Total Repair 5 Shampoo, 180ml",L'Oreal Paris Total Repair 5 Shampoo (360 ml),79,265.0
loreal,LOreal Paris Elseve Extraordinary Oil Serum - 30 ml,L'Oreal Paris Extraordinary Oil Serum 30ml,209,233.0
loreal,LOreal Paris Revitalift Crystal Gel Cream Oil-Free Moisturizer With Salicylic Acid- 50 ml,L'Oreal Paris Revitalift Crystal Gel Cream | Oil-Free Face Moisturizer With Salicylic Acid |(50 ml),254,524.0
loreal,LOreal Paris Rouge Signature Matte Liquid Lipstick 7ml - I Believe 147,L'Oreal Paris Rouge Signature Matte Liquid Lipstick  147 I Believe,559,799.0
loreal,LOreal Paris Rouge Signature Matte Liquid Lipstick 7 ml - I Convince 145,L'Oreal Paris Rouge Signature Matte Liquid Lipstick  145 I Convince,629,799.0
loreal,"LOreal Paris Matte Signature Liner - Black, 2.5ml",L'Oreal Paris Matte Signature Liner Black (2.5 ml),534,849.0
loreal,LOreal Revitalift Hyaluronic Acid Hydrating Gel Cleanser 100 ml,L'Oreal Paris Revitalift Hyaluronic Acid Hydrating Gel Cleanser (100 ml),160,260.0
loreal,LOreal Revitalift Hyaluronic Acid Hydrating Gel Cleanser 100 ml,L'Oreal Paris Revitalift Hyaluronic Acid Hydrating Gel Cleanser (50 ml),160,168.0
maybelline,Maybelline New York Super Stay Matte Ink Liquid Lipstick 5 ml - Pioneer 20,Maybelline New York Super Stay Matte Ink Liquid Lipstick  20 Pioneer  5g,384,420.0
maybelline,Maybelline New York Colossal Bold Liner - Black,Maybelline New York Colossal Bold Eyeliner  Black  3g,165,275.0
maybelline,Maybelline New York Colossal Bold Liner - Black,Maybelline New York Colossal Bold Eyeliner  Black  3g,165,193.0
maybelline,Maybelline New York Super Stay Matte Ink Liquid Lipstick 5 ml - Founder 115,Maybelline New York Super Stay Matte Ink Liquid Lipstick  115 Founder  5g,384,420.0
maybelline,Maybelline New York Super Stay Matte Ink Liquid Lipstick 5 ml - Globe Trotter 135,Maybelline New York Super Stay Matte Ink Liquid Lipstick - Globe Trotter 135 (5 g),384,420.0
maybelline,Maybelline New York Super Stay Matte Ink Liquid Lipstick 5 ml - Self Starter 130,Maybelline New York Super Stay Matte Ink Liquid Lipstick - Self Starter 130 (5 g),384,420.0
maybelline,Maybelline New York ColorSensational Creamy Matte Lipstick - Heated Pink 671,Maybelline New York Color Sensational Creamy Matte Lipstick  671 Heated Pink (3.9 g),197,224.0
maybelline,Maybelline New York Super Stay Matte Ink Liquid Lipstick 5 ml - Dancer 118,Maybelline New York Super Stay Matte Ink Liquid Lipstick - Dancer 118 (5 g),384,420.0
maybelline,Maybelline New York Color Sensational Creamy Matte Lipstick - East Village Rose 676,Maybelline New York Color Sensational Creamy Matte Lipstick  676 East Village Rose (3.9 g),197,224.0
maybelline,Maybelline New York Fit Me Concealer - Cafe 30 6.8ml,Maybelline New York Fit Me Concealer - Cafe 50 (6.8 g),347,390.0
