brand,myntra_name,purplle_name,myntra_price,purplle_price
loreal,LOreal Paris Revitalift Crystal Gel Cream Oil-Free Moisturizer With Salicylic Acid- 50 ml,L'Oreal Paris Revitalift Crystal Gel Cream | Oil-Free Face Moisturizer With Salicylic Acid |(50 ml),254,524.0
loreal,"LOreal Paris Matte Signature Liner - Black, 2.5ml",L'Oreal Paris Matte Signature Liner Black (2.5 ml),534,849.0
maybelline,Maybelline New York Color Sensational Ultimattes Lipstick- 199 More Ruby- 1.7g,Maybelline New York Color Sensational Ultimattes Lipstick  199 More Ruby  1.7g,329,359.0
lakme,Lakme 9To5  Primer And Matte Perfect Cover Foundation - Cool Tan C280 25 ml,Lakme 9 To 5 Primer + Matte Perfect Cover Foundation - Cool Tan C280 (25 ml),183,315.0
lakme,Lakme Lip Love Chapstick SPF 15 - Cherry,Lakme Lip Love Chapstick SPF 15 - Cherry,112,125.0
lakme,Lakme Face Sheer Blusher - Desert Rose,Lakme Face Sheer Blusher Desert Rose (4 g),310,375.0
lakme,"Lakme Absolute 3D Cover Foundation - Cool Ivory, 15 ml",Lakme Absolute 3D Cover Foundation  Cool Ivory (15 ml),371,619.0
lakme,Lakme Absolute Matte Ultimate Lip Color - Brunch Nude 3.4g,Lakme Absolute Matte Ultimate Lip Color - Brunch Nude (3.4 g),511,619.0
lakme,Lakme Absolute Matte Revolution Lip Color - Burgundy Blast 502,Lakme Absolute Matte Revolution Lip Color - Burgundy Blast 502 (4 g),371,825.0
lakme,Lakme 9To5 Primer & Matte Perfect Cover Foundation - Cool Walnut C380 25 ml,Lakme 9 To 5 Primer + Matte Perfect Cover Foundation - Cool Walnut C380 (25 ml),183,289.0
lakme,Lakme Absolute Matte Ultimate Lip Color - Rouge Splash 3.4gm,Lakme Absolute Matte Ultimate Lip Color - Rouge Splash (3.4 g),635,784.0
lakme,Lakme Absolute Perfect Radiance Skin Brightening Day Creme 15g,Lakme Absolute Perfect Radiance Skin Brightening Day Creme 50 g,99,175.0
lakme,Lakme Lip Love Gelato Chapstick - Fresh Orange,Lakme Lip Love Gelato Chapstick - Fresh Orange,139,155.0
lakme,Lakme Absolute Mattreal Mousse Concealer - Caramel 04 9 g,Lakme Absolute Mattreal Mousse Concealer - Caramel 04 (9 g),245,525.0
mcaffeine,MCaffeine Dark Circle Reduction Combo,mCaffeine Dark Circle Reduction Combo,941,1148.0
swiss-beauty,SWISS BEAUTY 3D Studio Effect Eyelashes - Vamp,Swiss Beauty 3D Studio Effect Eyelashes - VAMP,112,129.0
